bucket,query_value,actual_frequency,estimated_frequency,selectivity_error
6,648444,1.0,1.0,0.0
6,648644,1.0,1.0,0.0
6,650126,1.0,1.0,0.0
6,653550,1.0,1.0,0.0
6,653695,1.0,1.0,0.0
6,657800,1.0,1.0,0.0
6,658848,1.0,1.0,0.0
6,659391,1.0,1.0,0.0
6,660770,1.0,1.0,0.0
6,661720,1.0,1.0,0.0
6,662540,1.0,1.0,0.0
6,663137,1.0,1.0,0.0
6,664776,1.0,1.0,0.0
6,664894,1.0,1.0,0.0
6,665077,1.0,1.0,0.0
6,668004,1.0,1.0,0.0
6,668208,1.0,1.0,0.0
6,669513,1.0,1.0,0.0
6,675214,1.0,1.0,0.0
6,676085,1.0,1.0,0.0
6,681808,1.0,1.0,0.0
6,683601,1.0,1.0,0.0
6,684655,1.0,1.0,0.0
6,685748,1.0,1.0,0.0
6,685891,1.0,1.0,0.0
6,689165,1.0,1.0,0.0
6,690427,1.0,1.0,0.0
6,693342,1.0,1.0,0.0
6,695514,1.0,1.0,0.0
6,696164,1.0,1.0,0.0
6,700067,1.0,1.0,0.0
6,701427,1.0,1.0,0.0
